name,rating,reviews,address,price,country,bathrooms,beds,guests,toilets,bedrooms,studios
Perla bungalov,4.71,64,"Kartepe, Kocaeli, Turkey",8078, Turkey,1,1,2,0,2,0
Authentic Beach Architect Sheltered Villa with Pool and Jacuzzi,,0,"Kaş, Antalya, Turkey",4665, Turkey,2,2,4,0,2,0
cottages sataplia,4.85,68,"Imereti, Georgia",5991, Georgia,1,3,4,0,1,0
Sapanca Breathable Bungalow,5.0,13,"Sapanca, Sakarya, Turkey",11339, Turkey,1,2,4,0,1,0
Bungalov Ev 2,,0,"Sapanca, Sakarya, Turkey",6673, Turkey,1,1,2,0,1,0
CasaMia White Suite Treehouse,,0,"Sapanca, Sakarya, Turkey",14729, Turkey,1,2,2,0,1,0
Ladin Bungalow,,0,"Kaş, Antalya, Turkey",12312, Turkey,1,1,2,0,1,0
Lavender House,,0,"Akçalı, Giresun, Turkey",13655, Turkey,1,2,8,0,1,0
Prince's,,0,"Thành phố Đà Lạt, Lâm Đồng, Vietnam",1747, Vietnam,1,1,2,0,1,0
"The Cottage, Private Pool Villa",4.67,3,"Tambon Bang Kachai, Chang Wat Chanthaburi, Thailand",30486, Thailand,3,6,10,0,4,0
"A private pension hut on the hillside of Soklisan Solitary House 1, with a campfire and free firewood for apple trees",4.97,77,"Sanoe-myeon, Boeun-gun, North Chungcheong Province, South Korea",9052, South Korea,1,1,4,0,1,0
A Frame Tiny Cozy Glamp: Wanderthirst Dharamshala,4.89,55,"Dharmshala, Himachal Pradesh, India",5705, India,1,1,2,0,1,0
Cabin A Pahimis - private w/ pool & kitchen for 8,4.83,116,"Amadeo, Calabarzon, Philippines",14612, Philippines,2,7,8,0,2,0
Off-Grid Tiny A-Frame House and Campsite,4.87,23,"Tanay, Calabarzon, Philippines",8929, Philippines,1,2,15,0,1,0
"Kızılkaya bungalow houses, my home",4.71,21,"Geyve, Sakarya, Turkey",3763, Turkey,1,1,4,0,1,0
Villa Tuba,5.0,8,"Muratpaşa, Antalya, Turkey",22758, Turkey,1,4,6,0,2,0
VADİ BUNGALOV SAPANCA,4.9,52,"Sapanca, Sakarya, Turkey",11289, Turkey,1,2,4,0,1,0
AĞVA ÇINARHAN VİLLA GARDEN-Bahçe Jakuzili Bungalov,4.75,8,"İstanbul, Turkey",7526, Turkey,1,1,2,0,1,0
Purkinora Bungalow,4.76,17,"Dikkaya, Rize, Turkey",5018, Turkey,1,6,2,0,2,0
A Glass Teepee Tiny House by the River,4.84,61,"Tanay, Calabarzon, Philippines",2747, Philippines,1,1,3,0,0,0
Sioni Lake House,4.79,49,"Sioni, Mtskheta-Mtianeti, Georgia",6827, Georgia,1,1,3,0,1,0
Faith Bay Huts 1,4.97,38,"Cabangan, Central Luzon, Philippines",5529, Philippines,1,1,2,0,1,0
Sapanca Loft Bungalow,4.82,23,"Sapanca, Sakarya, Turkey",6924, Turkey,1,4,6,0,2,0
Enthralling Escapes with snow view mountains #,5.0,4,"Manali, Himachal Pradesh, India",3709, India,1,1,2,0,1,0
New Chalets on Farm with Fireplace #6,4.93,15,"Bolu, Turkey",12845, Turkey,1,3,6,0,2,0
Sapancaguldibibugalov,4.96,26,"Sapanca, Sakarya, Turkey",8128, Turkey,1,1,4,0,1,0
sapanca Bungalife M,4.6,5,"Memnuniye, Sakarya, Turkey",15052, Turkey,2,4,7,0,3,0
Bungalows with private pools in touch with nature,,2,"Sapanca, Sakarya, Turkey",15604, Turkey,1,1,4,0,1,0
sapancapanoramabungalow1,5.0,4,"Sapanca, Sakarya, Turkey",7476, Turkey,1,2,4,0,1,0
Coconut Tree House Udalo Mindoro,4.87,85,"Abra de Ilog, MIMAROPA, Philippines",1372, Philippines,1,1,2,0,1,0
"Sapanca Yura Bungalov-1 Havuzlu, Korunaklı,",5.0,9,"Sapanca, Sakarya, Turkey",14771, Turkey,1,2,4,0,1,0
Glass Teepee Village - River Glamping near Manila,4.9,20,"Tanay, Calabarzon, Philippines",8248, Philippines,1,5,7,0,3,0
Bungalow Holiday Villa Gen with Private Pool and Jacuzzi,4.64,11,"Kaş, Antalya, Turkey",7319, Turkey,1,1,2,0,1,0
Kid and Pet Friendly Tiny House,5.0,7,"Avanos, Nevşehir, Turkey",4051, Turkey,1,2,3,0,1,0
